town,county,acs_population,future_livability_score,investor_opportunity_score,essential_needs_score,median_household_income,pct_below_poverty,pct_zero_vehicle_households,pct_65_plus,pct_with_disability,future_lane,missing_needs
Whiting,Washington,506,55.37,37.04,52.2,55263.0,5.34,2.12,27.47,34.19,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Stow,Oxford,535,55.22,35.68,45.49,42204.0,8.08,0.42,37.94,11.39,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Benton,Kennebec,2770,55.16,43.54,54.6,61437.0,9.96,6.26,20.97,22.31,"selective housing, local services, outdoor economy, and community infrastructure","accessible housing, ADA routes, paratransit, and healthcare coordination"
Isle au Haut,Knox,69,55.14,33.39,47.25,49500.0,2.9,0.0,81.16,14.49,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Denmark,Oxford,1054,55.12,38.75,53.8,64167.0,8.92,1.63,31.78,25.14,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Temple,Franklin,824,55.09,31.49,46.38,56087.0,10.16,4.2,15.05,17.96,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Stockton Springs,Waldo,1652,55.02,46.25,55.74,74886.0,14.55,1.14,30.21,14.88,"senior services, healthcare access, downsizing housing, and home-care businesses","affordable housing, workforce stability, and anti-displacement support; age-friendly housing, home care, clinics, and senior transportation"
Carrabassett Valley,Franklin,637,55.0,42.28,59.13,88750.0,3.95,20.44,42.7,14.6,"senior services, healthcare access, downsizing housing, and home-care businesses","reliable non-car transportation, local services, and car-light housing; age-friendly housing, home care, clinics, and senior transportation; regional shared services and connectivity to larger service hubs"
Cambridge,Somerset,532,54.94,34.08,50.7,63194.0,14.1,0.43,18.61,18.61,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Biddeford,York,22498,54.93,56.17,57.9,72333.0,15.48,8.02,17.14,13.94,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; reliable non-car transportation, local services, and car-light housing; dense mixed-use housing and frequent local mobility options"
Fayette,Kennebec,1383,54.92,39.58,52.98,59500.0,7.88,2.42,37.24,20.67,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Connor UT,Aroostook,440,54.84,23.03,40.29,48264.0,12.5,0.0,14.09,12.5,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Liberty,Waldo,969,54.83,37.51,55.88,71146.0,14.76,2.3,21.78,17.93,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
South Franklin UT,Franklin,120,54.81,26.54,46.95,48409.0,13.33,0.0,20.0,15.0,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Cutler,Washington,492,54.63,32.23,56.06,72946.0,10.98,4.44,30.08,21.34,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Moose River,Somerset,248,54.62,25.43,47.01,76324.0,14.92,8.65,8.47,1.21,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; reliable non-car transportation, local services, and car-light housing; regional shared services and connectivity to larger service hubs"
Kenduskeag,Penobscot,1333,54.61,36.52,55.65,79792.0,15.9,5.65,15.6,11.85,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; regional shared services and connectivity to larger service hubs"
Frankfort,Waldo,1098,54.57,38.08,57.62,80000.0,16.37,1.65,21.4,19.93,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Beals,Washington,498,54.51,31.81,54.67,64063.0,10.84,4.48,30.12,17.07,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Palmyra,Somerset,2209,54.39,42.27,54.1,60543.0,9.1,10.07,16.75,18.7,"affordable housing, mobility services, clinics, and workforce support","reliable non-car transportation, local services, and car-light housing; accessible housing, ADA routes, paratransit, and healthcare coordination"
Fort Kent,Aroostook,4150,54.17,43.76,54.92,56270.0,11.15,6.22,20.72,19.65,"selective housing, local services, outdoor economy, and community infrastructure","accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development"
Fryeburg,Oxford,3489,54.04,44.55,54.41,56076.0,10.7,3.55,25.45,21.63,"selective housing, local services, outdoor economy, and community infrastructure","accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development"
Northwest Somerset UT,Somerset,26,54.0,31.01,40.0,0.0,0.0,0.0,100.0,0.0,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Seboomook Lake UT,Somerset,41,54.0,27.41,33.78,0.0,0.0,0.0,63.41,0.0,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Canaan,Somerset,2063,53.99,42.3,53.93,57781.0,12.92,5.99,18.81,14.2,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; higher-wage job access and local workforce development"
Sullivan,Hancock,1246,53.94,36.62,54.1,59643.0,13.64,1.69,22.47,18.86,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Somerville,Lincoln,837,53.93,32.51,49.26,71250.0,16.97,0.0,13.74,13.5,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; regional shared services and connectivity to larger service hubs"
Southwest Harbor,Hancock,1553,53.86,44.52,55.37,59205.0,9.26,9.44,26.66,17.04,"selective housing, local services, outdoor economy, and community infrastructure","reliable non-car transportation, local services, and car-light housing; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development"
Weld,Franklin,459,53.85,33.84,53.79,62083.0,6.54,0.0,44.44,27.89,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Bridgton,Cumberland,5642,53.81,53.58,58.74,77500.0,12.83,6.6,26.73,22.0,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination"
Linneus,Aroostook,1226,53.81,35.82,54.63,65114.0,11.99,10.42,15.25,11.13,"affordable housing, mobility services, clinics, and workforce support","reliable non-car transportation, local services, and car-light housing; regional shared services and connectivity to larger service hubs"
Stacyville,Penobscot,465,53.74,29.75,54.0,54583.0,11.61,3.7,20.65,21.51,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Byron,Oxford,174,53.66,30.43,57.64,90417.0,14.94,0.0,14.37,32.76,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Auburn,Androscoggin,24602,53.62,57.65,60.1,66647.0,13.8,10.47,19.83,20.19,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; reliable non-car transportation, local services, and car-light housing; accessible housing, ADA routes, paratransit, and healthcare coordination; dense mixed-use housing and frequent local mobility options"
Northeast Somerset UT,Somerset,516,53.54,41.44,51.45,57308.0,4.07,0.0,55.81,24.61,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Dixfield,Oxford,2300,53.48,44.55,57.99,70613.0,14.02,8.46,21.09,15.59,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; reliable non-car transportation, local services, and car-light housing"
Jonesport,Washington,1166,53.48,38.42,56.58,67500.0,13.55,4.04,26.5,17.69,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Fort Fairfield,Aroostook,3309,53.35,46.9,57.73,70852.0,10.28,8.42,30.86,20.76,"senior services, healthcare access, downsizing housing, and home-care businesses","reliable non-car transportation, local services, and car-light housing; age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination"
New Portland,Somerset,686,53.28,37.01,57.73,74375.0,14.47,9.88,17.64,12.68,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; reliable non-car transportation, local services, and car-light housing; regional shared services and connectivity to larger service hubs"
Leeds,Androscoggin,2285,53.21,43.88,57.8,85208.0,19.75,2.71,14.84,11.52,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support"
Franklin,Hancock,1628,53.19,44.95,56.39,65455.0,15.72,1.52,25.55,15.48,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support"
Jonesboro,Washington,570,53.08,34.21,52.32,63750.0,14.04,2.24,15.44,19.86,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Embden,Somerset,995,53.07,39.23,54.51,56875.0,12.21,2.29,34.57,13.37,"senior services, healthcare access, downsizing housing, and home-care businesses","affordable housing, workforce stability, and anti-displacement support; age-friendly housing, home care, clinics, and senior transportation; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Haynesville,Aroostook,131,52.95,23.02,37.61,0.0,2.29,1.47,24.43,25.19,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Richmond,Sagadahoc,3566,52.94,43.07,56.18,65854.0,12.37,11.13,15.56,13.41,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; reliable non-car transportation, local services, and car-light housing"
Brooksville,Hancock,853,52.92,40.42,54.46,56316.0,8.09,5.38,41.62,16.06,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Bethel,Oxford,2617,52.82,45.65,55.71,58929.0,13.92,3.1,29.35,13.53,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; age-friendly housing, home care, clinics, and senior transportation; higher-wage job access and local workforce development"
Whitneyville,Washington,170,52.8,30.99,54.88,55938.0,12.35,0.0,26.47,24.12,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Brewer,Penobscot,9652,52.74,53.31,59.16,66613.0,12.5,10.73,22.41,19.13,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; reliable non-car transportation, local services, and car-light housing; accessible housing, ADA routes, paratransit, and healthcare coordination"
Central Somerset UT,Somerset,333,52.59,33.37,48.93,39063.0,3.6,1.38,57.66,15.02,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Columbia,Washington,529,52.59,37.62,55.55,56667.0,13.42,3.18,25.9,16.82,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Burnham,Waldo,953,52.51,37.21,56.32,59261.0,13.64,2.43,22.25,22.56,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Parkman,Piscataquis,896,52.51,36.48,55.83,54231.0,13.31,5.81,19.87,16.87,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Penobscot,Hancock,1154,52.46,39.35,56.2,63194.0,16.03,0.75,31.98,11.09,"senior services, healthcare access, downsizing housing, and home-care businesses","affordable housing, workforce stability, and anti-displacement support; age-friendly housing, home care, clinics, and senior transportation; regional shared services and connectivity to larger service hubs"
Meddybemps,Washington,139,52.29,32.54,53.31,48000.0,7.19,0.0,39.57,27.34,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Dallas,Franklin,220,52.27,34.68,58.95,77500.0,7.27,9.02,43.18,25.45,"senior services, healthcare access, downsizing housing, and home-care businesses","reliable non-car transportation, local services, and car-light housing; age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Paris,Oxford,5317,52.16,53.18,60.69,75137.0,12.45,12.23,24.56,19.97,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; reliable non-car transportation, local services, and car-light housing; accessible housing, ADA routes, paratransit, and healthcare coordination"
Dover-Foxcroft,Piscataquis,4506,52.11,45.03,58.22,63344.0,15.12,6.11,21.42,17.16,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination"
Islesboro,Waldo,636,52.08,42.41,60.61,88438.0,15.09,3.94,40.57,16.82,"senior services, healthcare access, downsizing housing, and home-care businesses","affordable housing, workforce stability, and anti-displacement support; age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Hodgdon,Aroostook,1428,52.05,36.88,56.79,54519.0,12.06,9.26,20.66,16.81,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; reliable non-car transportation, local services, and car-light housing; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Rangeley,Franklin,792,52.01,41.92,55.57,58243.0,1.77,7.0,49.12,32.58,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Ludlow,Aroostook,444,51.99,26.78,50.21,62500.0,15.32,2.02,12.39,16.22,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Harmony,Somerset,974,51.88,36.84,55.34,54063.0,15.81,0.0,22.9,17.97,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Washington,Knox,1624,51.71,43.94,57.5,59861.0,15.31,3.95,21.31,18.54,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development"
Rockland,Knox,7035,51.69,52.49,58.16,56533.0,10.39,11.81,25.36,18.72,"affordable housing, mobility services, clinics, and workforce support","reliable non-car transportation, local services, and car-light housing; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development"
Newfield,York,1580,51.5,44.92,57.45,57188.0,10.51,8.91,26.9,20.7,"selective housing, local services, outdoor economy, and community infrastructure","reliable non-car transportation, local services, and car-light housing; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development"
Oxford,Oxford,4333,51.5,44.14,58.21,58571.0,12.45,11.52,19.02,16.82,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; reliable non-car transportation, local services, and car-light housing; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development"
Damariscotta,Lincoln,2192,51.49,46.18,57.38,59423.0,11.86,6.48,31.16,18.01,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development"
Upton,Oxford,91,51.48,31.37,42.84,0.0,0.0,1.43,80.22,6.59,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Columbia Falls,Washington,475,51.22,31.06,53.99,43750.0,12.42,0.0,30.11,19.37,"senior services, healthcare access, downsizing housing, and home-care businesses","affordable housing, workforce stability, and anti-displacement support; age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Chebeague Island,Cumberland,555,51.13,41.89,57.75,67639.0,12.5,2.64,44.32,15.99,"senior services, healthcare access, downsizing housing, and home-care businesses","affordable housing, workforce stability, and anti-displacement support; age-friendly housing, home care, clinics, and senior transportation; regional shared services and connectivity to larger service hubs"
Robbinston,Washington,621,51.11,38.81,58.84,68333.0,15.18,0.79,27.05,25.91,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Baileyville,Washington,1339,51.07,37.21,58.1,60000.0,15.83,2.85,19.87,21.96,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Appleton,Knox,1360,51.02,37.98,57.83,53618.0,9.66,13.98,26.1,15.22,"affordable housing, mobility services, clinics, and workforce support","reliable non-car transportation, local services, and car-light housing; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
South Aroostook UT,Aroostook,767,51.02,35.09,55.12,57600.0,11.82,9.09,13.04,17.47,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","reliable non-car transportation, local services, and car-light housing; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Stockholm,Aroostook,222,51.02,30.79,58.84,60833.0,13.06,10.0,21.17,18.47,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; reliable non-car transportation, local services, and car-light housing; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
East Machias,Washington,1223,50.99,36.92,57.61,57589.0,15.91,3.8,19.38,18.48,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Avon,Franklin,359,50.92,30.8,60.15,63125.0,10.17,17.42,20.06,18.38,"affordable housing, mobility services, clinics, and workforce support","reliable non-car transportation, local services, and car-light housing; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Bridgewater,Aroostook,484,50.91,31.98,58.96,65417.0,12.03,5.11,27.48,27.89,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Woodville,Penobscot,198,50.86,27.15,51.39,49722.0,5.64,3.12,11.62,43.43,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Machiasport,Washington,1016,50.84,38.98,57.57,60000.0,15.89,1.32,29.82,16.4,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Monson,Piscataquis,596,50.75,38.9,56.76,56017.0,14.93,0.35,31.38,17.82,"senior services, healthcare access, downsizing housing, and home-care businesses","affordable housing, workforce stability, and anti-displacement support; age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Hiram,Oxford,1748,50.68,42.69,57.35,62813.0,12.59,4.48,15.73,29.75,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination"
Westmanland,Aroostook,108,50.68,33.04,58.38,63750.0,6.6,4.35,36.11,39.81,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Hanover,Oxford,276,50.58,30.7,57.32,55417.0,18.84,0.0,21.74,13.77,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Sandy River,Franklin,90,50.55,34.96,55.44,61250.0,11.11,0.0,54.44,14.44,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; regional shared services and connectivity to larger service hubs"
Lake View,Piscataquis,181,50.53,28.07,41.77,0.0,3.87,0.0,43.65,13.81,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Trenton,Hancock,1599,50.45,45.21,58.7,60455.0,18.24,5.13,25.45,7.63,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support"
Waterford,Oxford,1295,50.37,39.19,59.64,66071.0,16.45,5.48,27.72,14.52,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; regional shared services and connectivity to larger service hubs"
East Central Washington UT,Washington,573,50.36,37.56,57.21,53317.0,16.2,1.1,24.43,18.21,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Princeton,Washington,866,50.36,36.95,58.2,56406.0,15.3,3.49,19.75,22.86,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Roxbury,Oxford,352,50.35,31.06,57.14,51667.0,13.35,3.66,25.57,21.59,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Shirley,Piscataquis,234,50.31,31.75,58.62,61875.0,16.96,2.06,26.5,17.09,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Old Orchard Beach,York,9244,50.08,55.9,59.39,60050.0,14.92,3.57,33.51,18.76,"senior services, healthcare access, downsizing housing, and home-care businesses","affordable housing, workforce stability, and anti-displacement support; age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination"
Nashville,Aroostook,12,50.03,34.19,55.0,46750.0,0.0,0.0,50.0,50.0,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Pittsfield,Somerset,3930,50.0,43.08,57.42,57381.0,15.54,8.26,15.22,12.92,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; reliable non-car transportation, local services, and car-light housing; higher-wage job access and local workforce development"
Sangerville,Piscataquis,1136,49.95,37.48,57.45,50313.0,13.47,2.8,24.12,24.91,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Strong,Franklin,1249,49.94,37.02,57.45,47557.0,13.93,6.59,22.02,17.21,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Randolph,Kennebec,1610,49.91,46.17,60.23,66574.0,15.67,4.91,27.76,20.19,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination"
Searsport,Waldo,2655,49.7,45.49,60.69,64303.0,14.59,7.23,23.69,23.42,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination"
Greenville,Piscataquis,1355,49.65,40.24,59.4,63486.0,13.72,2.97,34.17,23.54,"senior services, healthcare access, downsizing housing, and home-care businesses","affordable housing, workforce stability, and anti-displacement support; age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Sedgwick,Hancock,1274,49.56,41.15,60.3,70446.0,16.9,1.41,36.5,17.5,"senior services, healthcare access, downsizing housing, and home-care businesses","affordable housing, workforce stability, and anti-displacement support; age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Corinna,Penobscot,2192,49.53,43.74,58.73,56547.0,17.75,1.9,19.02,20.12,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development"
